Episode,AverageReward
10000,-0.13650
20000,-0.13705
30000,-0.13000
40000,-0.12760
50000,-0.12562
60000,-0.12653
70000,-0.12497
80000,-0.12258
90000,-0.12358
100000,-0.12164
110000,-0.12106
120000,-0.12148
130000,-0.12114
140000,-0.12149
150000,-0.12135
160000,-0.12192
170000,-0.12199
180000,-0.12236
190000,-0.12286
200000,-0.12261
210000,-0.12265
220000,-0.12220
230000,-0.12193
240000,-0.12138
250000,-0.12054
260000,-0.11968
270000,-0.12017
280000,-0.12016
290000,-0.11978
300000,-0.11996
310000,-0.11993
320000,-0.11963
330000,-0.11952
340000,-0.11927
350000,-0.11898
360000,-0.11854
370000,-0.11851
380000,-0.11798
390000,-0.11856
400000,-0.11851
410000,-0.11861
420000,-0.11900
430000,-0.11888
440000,-0.11893
450000,-0.11879
460000,-0.11888
470000,-0.11887
480000,-0.11888
490000,-0.11888
500000,-0.11884
510000,-0.11855
520000,-0.11856
530000,-0.11854
540000,-0.11828
550000,-0.11820
560000,-0.11830
570000,-0.11819
580000,-0.11846
590000,-0.11860
600000,-0.11859
610000,-0.11855
620000,-0.11844
630000,-0.11810
640000,-0.11837
650000,-0.11844
660000,-0.11833
670000,-0.11847
680000,-0.11850
690000,-0.11863
700000,-0.11855
710000,-0.11845
720000,-0.11858
730000,-0.11867
740000,-0.11831
750000,-0.11839
760000,-0.11833
770000,-0.11822
780000,-0.11801
790000,-0.11807
800000,-0.11803
810000,-0.11798
820000,-0.11798
830000,-0.11808
840000,-0.11816
850000,-0.11815
860000,-0.11818
870000,-0.11822
880000,-0.11827
890000,-0.11827
900000,-0.11855
910000,-0.11852
920000,-0.11836
930000,-0.11813
940000,-0.11826
950000,-0.11809
960000,-0.11825
970000,-0.11829
980000,-0.11817
990000,-0.11795
1000000,-0.11795
