Episode,AverageReward
10000,-0.12100
20000,-0.12410
30000,-0.12620
40000,-0.11958
50000,-0.12000
60000,-0.11717
70000,-0.11726
80000,-0.11631
90000,-0.11703
100000,-0.11614
110000,-0.11745
120000,-0.11719
130000,-0.11590
140000,-0.11669
150000,-0.11642
160000,-0.11659
170000,-0.11713
180000,-0.11668
190000,-0.11650
200000,-0.11618
210000,-0.11677
220000,-0.11688
230000,-0.11732
240000,-0.11821
250000,-0.11822
260000,-0.11865
270000,-0.11877
280000,-0.11860
290000,-0.11801
300000,-0.11832
310000,-0.11800
320000,-0.11799
330000,-0.11793
340000,-0.11795
350000,-0.11815
360000,-0.11834
370000,-0.11875
380000,-0.11834
390000,-0.11807
400000,-0.11825
410000,-0.11837
420000,-0.11852
430000,-0.11843
440000,-0.11863
450000,-0.11850
460000,-0.11841
470000,-0.11851
480000,-0.11880
490000,-0.11898
500000,-0.11866
510000,-0.11865
520000,-0.11854
530000,-0.11846
540000,-0.11873
550000,-0.11835
560000,-0.11844
570000,-0.11846
580000,-0.11830
590000,-0.11795
600000,-0.11781
610000,-0.11776
620000,-0.11798
630000,-0.11793
640000,-0.11791
650000,-0.11807
660000,-0.11788
670000,-0.11779
680000,-0.11781
690000,-0.11800
700000,-0.11807
710000,-0.11797
720000,-0.11803
730000,-0.11795
740000,-0.11796
750000,-0.11791
760000,-0.11798
770000,-0.11802
780000,-0.11780
790000,-0.11747
800000,-0.11749
810000,-0.11770
820000,-0.11776
830000,-0.11783
840000,-0.11775
850000,-0.11777
860000,-0.11800
870000,-0.11793
880000,-0.11808
890000,-0.11815
900000,-0.11835
910000,-0.11834
920000,-0.11845
930000,-0.11865
940000,-0.11854
950000,-0.11867
960000,-0.11854
970000,-0.11861
980000,-0.11874
990000,-0.11886
1000000,-0.11887
