PlayerTotal,ActiveAce,DealerCard,Hit,Stand
12,0,2,-0.24908,-0.38010
12,0,3,-0.31159,-0.48934
12,0,4,-0.18178,-0.37509
12,0,5,0.03917,-0.62153
12,0,6,-0.32950,-0.40555
12,0,7,-0.38738,-0.74671
12,0,8,-0.35678,-0.65178
12,0,9,-0.52497,-0.64396
12,0,10,-0.33446,-0.57106
12,0,11,-0.47208,-0.71774
12,1,2,0.04048,-0.43529
12,1,3,0.15300,-0.23661
12,1,4,0.08506,-0.11839
12,1,5,-0.02038,-0.11204
12,1,6,0.13065,-0.13052
12,1,7,0.16994,-0.31028
12,1,8,0.02486,-0.55863
12,1,9,-0.12606,-0.47610
12,1,10,-0.19905,-0.79227
12,1,11,-0.28696,-0.68619
13,0,2,-0.42092,-0.19941
13,0,3,-0.13076,-0.49285
13,0,4,-0.41668,-0.17103
13,0,5,-0.05720,-0.26988
13,0,6,-0.42691,-0.30173
13,0,7,-0.19967,-0.67417
13,0,8,0.02178,-0.72179
13,0,9,-0.45479,-0.73558
13,0,10,-0.49937,-0.81789
13,0,11,-0.43297,-0.95879
13,1,2,0.02585,-0.26441
13,1,3,0.06870,-0.26731
13,1,4,0.01772,-0.46406
13,1,5,0.21063,-0.07179
13,1,6,0.34452,-0.17671
13,1,7,0.17119,-0.38671
13,1,8,-0.10844,-0.95817
13,1,9,-0.08386,-0.68176
13,1,10,0.05648,-0.69609
13,1,11,-0.21648,-0.78516
14,0,2,-0.32529,-0.75801
14,0,3,-0.58422,-0.16324
14,0,4,-0.34952,-0.50601
14,0,5,-0.44842,0.09093
14,0,6,-0.39578,0.14351
14,0,7,-0.30939,-0.72298
14,0,8,-0.28566,-0.63925
14,0,9,-0.44538,-0.77583
14,0,10,-0.81803,-0.65626
14,0,11,-0.68590,-0.88935
14,1,2,-0.06104,-0.29853
14,1,3,-0.07543,-0.57926
14,1,4,0.10275,-0.47725
14,1,5,0.11438,-0.41229
14,1,6,0.14794,-0.22539
14,1,7,0.06535,-0.40918
14,1,8,-0.12534,-0.35174
14,1,9,-0.02091,-0.44482
14,1,10,-0.15440,-0.77398
14,1,11,-0.33641,-0.81832
15,0,2,-0.59403,0.07088
15,0,3,-0.60295,-0.16928
15,0,4,-0.60313,-0.15292
15,0,5,-0.67268,0.52032
15,0,6,-0.41989,0.35836
15,0,7,-0.31269,-0.43313
15,0,8,-0.17626,-0.75969
15,0,9,-0.64006,-0.89783
15,0,10,-0.58910,-0.82433
15,0,11,-0.70288,-0.97033
15,1,2,-0.09656,0.05384
15,1,3,0.04842,-0.38399
15,1,4,-0.00152,-0.02822
15,1,5,0.09843,-0.04050
15,1,6,0.02773,-0.06544
15,1,7,0.14472,-0.41604
15,1,8,-0.04208,-0.49968
15,1,9,-0.04290,-0.71550
15,1,10,-0.31021,-0.71057
15,1,11,-0.19811,-0.77077
16,0,2,-0.39647,-0.64417
16,0,3,-0.60495,0.23277
16,0,4,-0.64159,-0.11869
16,0,5,-0.65895,-0.20929
16,0,6,-0.50430,0.33146
16,0,7,-0.72063,-0.64223
16,0,8,-0.57184,-0.74548
16,0,9,-0.42454,-0.75217
16,0,10,-0.61041,-0.87743
16,0,11,-0.63108,-0.95261
16,1,2,0.05752,-0.73254
16,1,3,0.05583,-0.53401
16,1,4,0.05014,-0.41720
16,1,5,0.05535,-0.15518
16,1,6,0.21453,-0.25787
16,1,7,-0.10698,-0.44464
16,1,8,0.01935,-0.22824
16,1,9,-0.13907,-0.73664
16,1,10,-0.15403,-0.76172
16,1,11,-0.44912,-0.95753
17,0,2,-0.84498,-0.02684
17,0,3,-0.64511,0.09130
17,0,4,-0.70657,-0.34123
17,0,5,-0.44239,0.01779
17,0,6,-0.57442,-0.30081
17,0,7,-0.45002,0.12965
17,0,8,-0.78327,-0.38805
17,0,9,-0.62394,-0.70433
17,0,10,-0.64160,-0.54162
